Survey_strategy Optic M5_sky_area_single_filter M5_sky_area_filter_combo
wide_area F129,F158,F213 nan 786.2083221515605
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F129,F158,F213 nan 9.809244478405512
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F129,F158,F213 nan 30.267027080427702
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F106,F129,F213 nan 11.59274347447924
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F106,F129,F213 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F106,F129,F213 nan 30.267027080427702
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F106,F158,F213 nan 11.59274347447924
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F106,F158,F213 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F106,F158,F213 nan 30.267027080427702
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F087,F129,F158,F184,F213,F146 nan 0.0
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F087,F129,F158,F184,F213,F146 nan 0.0
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F087,F129,F158,F184,F213,F146 nan 0.0
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F129,F158,F213 nan 786.2083221515605
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F129,F158,F213 nan 9.809244478405512
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F129,F158,F213 nan 30.267027080427702
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F129,F158,F213 nan 786.2083221515605
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F129,F158,F213 nan 9.809244478405512
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F129,F158,F213 nan 30.267027080427702
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F184,F213 nan 623.0181640108142
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F184,F213 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F184,F213 nan 18.67428360594846
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F129,F184,F213 nan 623.0181640108142
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F129,F184,F213 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F129,F184,F213 nan 18.67428360594846
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F129,F158,F184,F213 nan 623.0181640108142
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F129,F158,F184,F213 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F129,F158,F184,F213 nan 18.67428360594846
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F087,F213 nan 0.0
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F087,F213 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F087,F213 nan 18.67428360594846
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F106,F129,F158,F213 nan 11.59274347447924
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F106,F129,F158,F213 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F106,F129,F158,F213 nan 30.267027080427702
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F106,F158,F184 nan 11.59274347447924
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F106,F158,F184 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F106,F158,F184 nan 18.67428360594846
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F106,F129,F158,F213 nan 11.59274347447924
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F106,F129,F158,F213 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F106,F129,F158,F213 nan 30.267027080427702
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F106,F158,F213 nan 11.59274347447924
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F106,F158,F213 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F106,F158,F213 nan 30.267027080427702
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F129,F158,F213 nan 786.2083221515605
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F129,F158,F213 nan 9.809244478405512
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F129,F158,F213 nan 30.267027080427702
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F062,F129,F213 nan 0.0
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F062,F129,F213 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F062,F129,F213 nan 18.67428360594846
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F062,F087 nan 0.0
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F062,F087 nan 9.074862538845741
time_domain F062 10.639999999999993 nan
time_domain F087 10.639999999999993 nan
time_domain F106 19.389999999999993 nan
time_domain F129 19.389999999999993 nan
time_domain F158 19.389999999999993 nan
time_domain F184 10.639999999999993 nan
time_domain F213 19.389999999999993 nan
time_domain F146 0.0 nan
time_domain G150 0.0 nan
time_domain P127 0.0 nan
time_domain F062,F087 nan 18.67428360594846
wide_area F062 0.0 nan
wide_area F087 0.0 nan
wide_area F106 8.75 nan
wide_area F129 715.85 nan
wide_area F158 715.85 nan
wide_area F184 555.85 nan
wide_area F213 715.85 nan
wide_area F146 0.0 nan
wide_area G150 0.0 nan
wide_area P127 0.0 nan
wide_area F129,F158,F213 nan 786.2083221515605
panchromatic F062 3.9584067435231405 nan
panchromatic F087 3.9584067435231405 nan
panchromatic F106 3.9584067435231405 nan
panchromatic F129 4.241150082346222 nan
panchromatic F158 4.241150082346222 nan
panchromatic F184 3.9584067435231405 nan
panchromatic F213 4.241150082346222 nan
panchromatic F146 0.0 nan
panchromatic G150 3.9584067435231405 nan
panchromatic P127 4.241150082346222 nan
panchromatic F129,F158,F213 nan 9.809244478405512
